Dalc,Walc,G3,
1,1,0,6
1,1,0,6
2,3,1,10
1,1,1,15
1,2,1,10
1,2,1,15
1,1,1,11
1,1,0,6
1,1,1,19
1,1,1,15
1,2,0,9
1,1,1,12
1,3,1,14
1,2,1,11
1,1,1,16
1,2,1,14
1,2,1,14
1,1,1,10
2,4,0,5
1,3,1,10
1,1,1,15
1,1,1,15
1,3,1,16
2,4,1,12
1,1,0,8
1,3,0,8
1,2,1,11
2,4,1,15
1,1,1,11
5,5,1,11
3,4,1,12
1,1,1,17
1,1,1,16
1,1,1,12
1,1,1,15
1,1,0,6
1,1,1,18
1,1,1,15
1,1,1,11
1,1,1,13
1,2,1,11
2,4,1,12
1,1,1,18
1,1,1,11
2,2,0,9
1,1,0,6
1,4,1,11
1,1,1,20
2,2,1,14
1,1,0,7
2,3,1,13
1,1,1,13
3,4,1,10
2,3,1,11
4,4,1,13
1,1,1,10
1,1,1,15
1,1,1,15
1,1,0,9
1,1,1,16
2,3,1,11
5,5,1,11
1,1,0,9
2,4,0,9
2,4,1,10
1,2,1,15
5,5,1,12
1,2,0,6
1,3,0,8
2,3,1,16
1,1,1,15
1,1,1,10
2,4,0,5
2,2,1,14
2,4,1,11
2,3,1,10
1,1,1,10
1,3,1,11
1,1,1,10
1,2,0,5
1,3,1,12
1,2,1,11
1,1,0,6
1,3,1,15
2,3,1,10
2,3,0,8
1,2,0,6
1,3,1,14
1,1,1,10
3,5,0,7
1,3,0,8
1,3,1,18
2,3,0,6
1,1,1,10
1,1,1,14
1,1,1,10
1,1,1,15
1,1,1,10
1,2,1,14
1,1,0,8
5,5,0,5
1,1,1,17
1,1,1,14
1,1,0,6
1,1,1,18
1,1,1,11
1,1,0,8
1,1,1,18
3,5,1,13
1,1,1,16
1,1,1,19
1,1,1,10
1,1,1,13
1,1,1,19
1,1,0,9
1,2,1,16
1,1,1,14
1,1,1,13
1,4,0,8
1,2,1,13
1,2,1,15
1,2,1,15
1,2,1,13
1,4,1,13
1,1,0,8
3,2,1,12
1,1,1,11
1,1,0,9
1,2,0,0
2,5,1,18
2,2,0,0
1,2,0,0
1,3,1,12
1,4,1,11
1,1,0,0
1,1,0,0
2,4,0,0
1,1,0,0
1,3,1,12
1,1,1,15
1,1,0,0
2,2,0,9
1,1,1,11
3,3,1,13
1,2,0,0
1,2,1,11
1,1,0,0
1,1,1,11
2,1,0,0
2,5,1,10
2,5,0,0
3,5,1,14
2,3,1,10
1,1,0,0
1,1,1,12
1,1,0,8
3,3,1,13
1,5,1,10
1,2,1,15
4,4,1,12
2,2,0,0
1,4,0,7
2,4,0,0
1,4,1,10
1,5,0,7
1,1,1,12
2,4,1,10
1,1,1,16
1,1,0,0
1,1,1,14
2,4,0,0
1,1,1,16
1,3,1,10
1,1,0,0
1,1,0,9
4,4,0,9
1,4,1,11
1,4,0,6
3,4,0,9
1,1,1,11
2,3,0,8
1,2,1,12
2,3,1,17
2,3,0,8
1,2,1,12
2,3,1,11
1,2,1,11
1,2,1,15
1,3,0,9
1,5,1,10
1,1,1,13
1,1,0,9
4,5,0,8
3,4,1,10
1,1,1,14
1,1,1,15
1,2,1,16
3,5,1,10
2,3,1,18
1,2,1,10
1,5,1,16
1,3,1,10
1,3,1,10
1,2,0,6
1,1,1,11
3,4,0,9
2,2,0,7
1,1,1,13
1,4,1,10
1,1,0,7
1,2,0,8
4,5,1,13
1,1,1,14
2,4,0,8
1,2,1,10
1,3,1,15
2,4,0,4
2,4,0,8
1,4,0,8
1,1,1,10
1,2,0,6
1,1,0,0
1,1,1,17
5,5,1,13
1,1,1,14
1,1,0,7
1,3,1,15
1,3,1,12
4,5,0,9
1,2,1,12
1,2,1,14
1,1,1,11
1,3,0,9
2,4,1,13
1,1,0,6
1,3,1,10
5,5,1,13
1,1,1,12
1,1,1,11
3,5,0,0
1,4,1,12
2,3,1,12
1,1,0,0
1,2,1,12
1,1,0,0
1,1,1,18
1,1,1,13
5,5,0,8
1,3,0,5
2,4,1,15
2,4,0,8
1,3,1,10
2,5,0,8
1,3,0,8
2,4,1,12
1,2,0,8
1,1,1,13
1,1,1,11
1,2,1,14
1,1,0,0
1,3,1,18
1,1,0,8
1,1,1,12
1,1,0,9
1,1,0,0
3,4,1,17
3,4,1,10
2,2,1,11
1,3,1,10
1,2,0,0
3,3,0,9
1,3,1,14
1,1,1,11
2,2,1,14
1,1,1,10
2,3,1,12
1,1,0,9
1,4,0,9
1,1,0,8
1,2,1,10
2,4,0,8
3,4,1,10
1,1,1,12
1,1,1,10
1,2,1,11
1,2,1,11
1,2,1,19
1,1,1,12
1,3,1,14
1,1,1,15
1,4,1,11
1,2,1,15
